"The house cost me $ 100,000 ."	cost; me	"_,_,x,_,_,_,_"	"O,O,O,ARG3,O,O,O"
"The house takes me $ 100,000 ."	takes; me	"_,_,x,_,_,_,_"	"O,O,O,ARG2,O,O,O"
"Selling the house earns me $ 100,000 ."	earns; me	"_,_,_,x,_,_,_,_"	"O,O,O,O,ARG2,O,O,O"
"Selling the house made me $ 100,000 ."	made; me	"_,_,_,x,_,_,_,_"	"O,O,O,O,ARG3,O,O,O"
"He charged me $ 100,000 for the house ."	charged; me	"_,x,_,_,_,_,_,_,_"	"O,O,ARG2,O,O,O,O,O,O"
"He offered me $ 100,000 for the house ."	offered; me	"_,x,_,_,_,_,_,_,_"	"O,O,ARG3,O,O,O,O,O,O"
"She rented me the house for $ 100,000 ."	rented; me	"_,x,_,_,_,_,_,_,_"	"O,O,ARG0,O,O,O,O,O,O"
"She compensated me the house for $ 100,000 ."	compensated; me	"_,x,_,_,_,_,_,_,_"	"O,O,ARG2,O,O,O,O,O,O"
"The house price amounts to $ 100,000 ."	"amounts; 100,000"	"_,_,_,x,_,_,_,_"	"O,O,O,O,O,O,ARG2,O"
"The house price rose to $ 100,000 ."	"rose; 100,000"	"_,_,_,x,_,_,_,_"	"O,O,O,O,O,O,ARG4,O"
"He charged me $ 100,000 for the house ."	"charged; 100,000"	"_,x,_,_,_,_,_,_,_"	"O,O,O,O,ARG1,O,O,O,O"
"He offered me $ 100,000 for the house ."	"offered; 100,000"	"_,x,_,_,_,_,_,_,_"	"O,O,O,O,ARG2,O,O,O,O"
"She rented me the house for $ 100,000 ."	"rented; 100,000"	"_,x,_,_,_,_,_,_,_"	"O,O,O,O,O,O,O,ARG3,O"
"She compensated me the house for $ 100,000 ."	"compensated; 100,000"	"_,x,_,_,_,_,_,_,_"	"O,O,O,O,O,O,O,ARG1,O"
