The decision affects the company .	affects	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
He bought apples .	bought	"_,x,_,_"	"ARG0,O,O,O"
She writes poems .	writes	"_,x,_,_"	"ARG0,O,O,O"
They built houses .	built	"_,x,_,_"	"ARG0,O,O,O"
We planted trees .	planted	"_,x,_,_"	"ARG0,O,O,O"
I cooked dinner .	cooked	"_,x,_,_"	"ARG0,O,O,O"
You broke glasses .	broke	"_,x,_,_"	"ARG0,O,O,O"
He threw rocks .	threw	"_,x,_,_"	"ARG0,O,O,O"
She caught fish .	caught	"_,x,_,_"	"ARG0,O,O,O"
They solved puzzles .	solved	"_,x,_,_"	"ARG0,O,O,O"
We sang songs .	sang	"_,x,_,_"	"ARG0,O,O,O"
I saw birds .	saw	"_,x,_,_"	"ARG0,O,O,O"
You made mistakes .	made	"_,x,_,_"	"ARG0,O,O,O"
He likes cats .	likes	"_,x,_,_"	"ARG0,O,O,O"
She hates spiders .	hates	"_,x,_,_"	"ARG0,O,O,O"
They need water .	need	"_,x,_,_"	"ARG0,O,O,O"
We want peace .	want	"_,x,_,_"	"ARG0,O,O,O"
I heard noises .	heard	"_,x,_,_"	"ARG0,O,O,O"
You felt pain .	felt	"_,x,_,_"	"ARG0,O,O,O"
He smelled smoke .	smelled	"_,x,_,_"	"ARG0,O,O,O"
She tasted salt .	tasted	"_,x,_,_"	"ARG0,O,O,O"
The dog chased a cat .	chased	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A boy kicked the ball .	kicked	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The girl read books .	read	"_,_,x,_,_"	"O,ARG0,O,O,O"
A man drove trucks .	drove	"_,_,x,_,_"	"O,ARG0,O,O,O"
The chef baked cakes .	baked	"_,_,x,_,_"	"O,ARG0,O,O,O"
A bird built nests .	built	"_,_,x,_,_"	"O,ARG0,O,O,O"
The teacher taught math .	taught	"_,_,x,_,_"	"O,ARG0,O,O,O"
A doctor cured patients .	cured	"_,_,x,_,_"	"O,ARG0,O,O,O"
The farmer grew crops .	grew	"_,_,x,_,_"	"O,ARG0,O,O,O"
A kid ate candy .	ate	"_,_,x,_,_"	"O,ARG0,O,O,O"
The bear caught fish .	caught	"_,_,x,_,_"	"O,ARG0,O,O,O"
A spider spins webs .	spins	"_,_,x,_,_"	"O,ARG0,O,O,O"
The author wrote novels .	wrote	"_,_,x,_,_"	"O,ARG0,O,O,O"
A student passed exams .	passed	"_,_,x,_,_"	"O,ARG0,O,O,O"
The player scored goals .	scored	"_,_,x,_,_"	"O,ARG0,O,O,O"
A programmer typed code .	typed	"_,_,x,_,_"	"O,ARG0,O,O,O"
The artist drew faces .	drew	"_,_,x,_,_"	"O,ARG0,O,O,O"
A cleaner swept floors .	swept	"_,_,x,_,_"	"O,ARG0,O,O,O"
The baby drank milk .	drank	"_,_,x,_,_"	"O,ARG0,O,O,O"
A machine washes clothes .	washes	"_,_,x,_,_"	"O,ARG0,O,O,O"
The dog bit the mailman .	bit	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A cat scratched the furniture .	scratched	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The wind blew the leaves .	blew	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A storm destroyed the town .	destroyed	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The sun melted the ice .	melted	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A fire burned the forest .	burned	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The river flooded the valley .	flooded	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A thief stole the money .	stole	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The police caught the suspect .	caught	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A judge sentenced the criminal .	sentenced	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The jury reached a verdict .	reached	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A lawyer argued the case .	argued	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The mayor signed the bill .	signed	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A citizen cast a vote .	cast	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The manager hired the applicant .	hired	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A customer bought the product .	bought	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The waiter served the food .	served	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A mechanic fixed the car .	fixed	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
The pilot flew the plane .	flew	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
A driver parked the vehicle .	parked	"_,_,x,_,_,_"	"O,ARG0,O,O,O,O"
John walked to the store .	walked	"_,x,_,_,_,_"	"ARG0,O,O,O,O,O"
Mary ran across the street .	ran	"_,x,_,_,_,_"	"ARG0,O,O,O,O,O"
Peter jumped over the fence .	jumped	"_,x,_,_,_,_"	"ARG0,O,O,O,O,O"
