I broke the window .	broke; window	"_,x,_,_,_"	"O,O,O,ARG1,O"
The window broke .	broke; window	"_,x,_,_"	"O,ARG1,O,O"
The sun melted the ice .	melted; ice	"_,_,x,_,_,_"	"O,O,O,O,ARG1,O"
The ice melted .	melted; ice	"_,_,x,_"	"O,ARG1,O,O"
You opened the door .	opened; door	"_,x,_,_,_"	"O,O,O,ARG1,O"
The door opened .	opened; door	"_,_,x,_"	"O,ARG1,O,O"
He closed the gate .	closed; gate	"_,x,_,_,_"	"O,O,O,ARG1,O"
The gate closed .	closed; gate	"_,_,x,_"	"O,ARG1,O,O"
She sank the ship .	sank; ship	"_,x,_,_,_"	"O,O,O,ARG1,O"
The ship sank .	sank; ship	"_,_,x,_"	"O,ARG1,O,O"
We shattered the glass .	shattered; glass	"_,x,_,_,_"	"O,O,O,ARG1,O"
The glass shattered .	shattered; glass	"_,_,x,_"	"O,ARG1,O,O"
They boiled the water .	boiled; water	"_,x,_,_,_"	"O,O,O,ARG1,O"
The water boiled .	boiled; water	"_,_,x,_"	"O,ARG1,O,O"
John bounced the ball .	bounced; ball	"_,x,_,_,_"	"O,O,O,ARG1,O"
The ball bounced .	bounced; ball	"_,_,x,_"	"O,ARG1,O,O"
Mary rolled the ball .	rolled; stone	"_,x,_,_,_"	"O,O,O,ARG1,O"
The ball rolled .	rolled; stone	"_,_,x,_"	"O,ARG1,O,O"
Bob dropped the cup .	dropped; cup	"_,x,_,_,_"	"O,O,O,ARG1,O"
The cup dropped .	dropped; cup	"_,_,x,_"	"O,ARG1,O,O"
Alice started the lesson .	started; lesson	"_,x,_,_,_"	"O,O,O,ARG1,O"
The lesson started .	started; lesson	"_,_,x,_"	"O,ARG1,O,O"
Tom stopped the car .	stopped; car	"_,x,_,_,_"	"O,O,O,ARG1,O"
The car stopped .	stopped; car	"_,_,x,_"	"O,ARG1,O,O"
Jane spun the wheel .	spun; wheel	"_,x,_,_,_"	"O,O,O,ARG1,O"
The wheel spun .	spun; wheel	"_,_,x,_"	"O,ARG1,O,O"
I bent the wire .	bent; wire	"_,x,_,_,_"	"O,O,O,ARG1,O"
The wire bent .	bent; wire	"_,_,x,_"	"O,ARG1,O,O"
You froze the meat .	froze; meat	"_,x,_,_,_"	"O,O,O,ARG1,O"
The meat froze .	froze; meat	"_,_,x,_"	"O,ARG1,O,O"
She dissolved the sugar .	dissolved; sugar	"_,x,_,_,_"	"O,O,O,ARG1,O"
The sugar dissolved .	dissolved; sugar	"_,_,x,_"	"O,ARG1,O,O"
We dried the shirt .	dried; shirt	"_,x,_,_,_"	"O,O,O,ARG1,O"
The shirt dried .	dried; shirt	"_,_,x,_"	"O,ARG1,O,O"
They expanded the balloon .	expanded; balloon	"_,x,_,_,_"	"O,O,O,ARG1,O"
The balloon expanded .	expanded; balloon	"_,_,x,_"	"O,ARG1,O,O"
John gathered the crowd .	gathered; crowd	"_,x,_,_,_"	"O,O,O,ARG1,O"
The crowd gathered .	gathered; crowd	"_,_,x,_"	"O,ARG1,O,O"
The cream healed the wound .	healed; wound	"_,_,x,_,_,_"	"O,O,O,O,ARG1,O"
The wound healed .	healed; wound	"_,_,x,_"	"O,ARG1,O,O"
Bob increased the price .	increased; price	"_,x,_,_,_"	"O,O,O,ARG1,O"
The price increased .	increased; price	"_,_,x,_"	"O,ARG1,O,O"
Alice decreased the value .	decreased; value	"_,x,_,_,_"	"O,O,O,ARG1,O"
The value decreased .	decreased; value	"_,_,x,_"	"O,ARG1,O,O"
Tom awakened the boy .	awakened; boy	"_,x,_,_,_"	"O,O,O,ARG1,O"
The boy awakened .	awakened; boy	"_,_,x,_"	"O,ARG1,O,O"
Jane burned the wood .	burned; wood	"_,x,_,_,_"	"O,O,O,ARG1,O"
The wood burned .	burned; wood	"_,_,x,_"	"O,ARG1,O,O"
I burst the pipe .	burst; pipe	"_,x,_,_,_"	"O,O,O,ARG1,O"
The pipe burst .	burst; pipe	"_,_,x,_"	"O,ARG1,O,O"
You cleared the screen .	cleared; screen	"_,x,_,_,_"	"O,O,O,ARG1,O"
The screen cleared .	cleared; screen	"_,_,x,_"	"O,ARG1,O,O"
He connected the call .	connected; call	"_,x,_,_,_"	"O,O,O,ARG1,O"
The call connected .	connected; call	"_,_,x,_"	"O,ARG1,O,O"
She crashed the system .	crashed; system	"_,x,_,_,_"	"O,O,O,ARG1,O"
The system crashed .	crashed; system	"_,_,x,_"	"O,ARG1,O,O"
We darkened the room .	darkened; room	"_,x,_,_,_"	"O,O,O,ARG1,O"
The room darkened .	darkened; room	"_,_,x,_"	"O,ARG1,O,O"
They floated the raft .	floated; raft	"_,x,_,_,_"	"O,O,O,ARG1,O"
The raft floated .	floated; raft	"_,_,x,_"	"O,ARG1,O,O"
John flew the kite .	flew; kite	"_,x,_,_,_"	"O,O,O,ARG1,O"
The kite flew .	flew; kite	"_,_,x,_"	"O,ARG1,O,O"
Mary folded the map .	folded; map	"_,x,_,_,_"	"O,O,O,ARG1,O"
The map folded .	folded; map	"_,_,x,_"	"O,ARG1,O,O"
Bob grew the tree .	grew; tree	"_,x,_,_,_"	"O,O,O,ARG1,O"
The tree grew .	grew; tree	"_,_,x,_"	"O,ARG1,O,O"
Alice thawed the chicken .	thawed; chicken	"_,x,_,_,_"	"O,O,O,ARG1,O"
The chicken thawed .	thawed; chicken	"_,_,x,_"	"O,ARG1,O,O"
Tom improved the score .	improved; score	"_,x,_,_,_"	"O,O,O,ARG1,O"
The score improved .	improved; score	"_,_,x,_"	"O,ARG1,O,O"
Jane moved the box .	moved; box	"_,x,_,_,_"	"O,O,O,ARG1,O"
The box moved .	moved; box	"_,_,x,_"	"O,ARG1,O,O"
You rang the bell .	rang; bell	"_,x,_,_,_"	"O,O,O,ARG1,O"
The bell rang .	rang; bell	"_,_,x,_"	"O,ARG1,O,O"
He rocked the boat .	rocked; boat	"_,x,_,_,_"	"O,O,O,ARG1,O"
The boat rocked .	rocked; boat	"_,_,x,_"	"O,ARG1,O,O"
She shut the blind .	shut; blind	"_,x,_,_,_"	"O,O,O,ARG1,O"
The blind shut .	shut; blind	"_,_,x,_"	"O,ARG1,O,O"
We snapped the twig .	snapped; twig	"_,x,_,_,_"	"O,O,O,ARG1,O"
The twig snapped .	snapped; twig	"_,_,x,_"	"O,ARG1,O,O"
They spilled the milk .	spilled; milk	"_,x,_,_,_"	"O,O,O,ARG1,O"
The milk spilled .	spilled; milk	"_,_,x,_"	"O,ARG1,O,O"
John split the log .	split; log	"_,x,_,_,_"	"O,O,O,ARG1,O"
The log split .	split; log	"_,_,x,_"	"O,ARG1,O,O"
Mary spread the jam .	spread; jam	"_,x,_,_,_"	"O,O,O,ARG1,O"
The jam spread .	spread; jam	"_,_,x,_"	"O,ARG1,O,O"
Bob stretched the band .	stretched; band	"_,x,_,_,_"	"O,O,O,ARG1,O"
The band stretched .	stretched; band	"_,_,x,_"	"O,ARG1,O,O"
Alice swung the bat .	swung; bat	"_,x,_,_,_"	"O,O,O,ARG1,O"
The bat swung .	swung; bat	"_,_,x,_"	"O,ARG1,O,O"
