I found it on paper .	found; paper	"_,x,_,_,_,_"	"O,O,O,O,ARGM-LOC,O"
I found it on that afternoon .	found; afternoon	"_,x,_,_,_,_,_"	"O,O,O,O,O,ARGM-TMP,O"
I found it on Facebook .	found; Facebook	"_,x,_,_,_,_"	"O,O,O,O,ARGM-LOC,O"
I found it on Monday .	found; Monday	"_,x,_,_,_,_"	"O,O,O,O,ARGM-TMP,O"
I found it in town .	found; town	"_,x,_,_,_,_"	"O,O,O,O,ARGM-LOC,O"
I found it in seconds .	found; seconds	"_,x,_,_,_,_"	"O,O,O,O,ARGM-TMP,O"
I arrived at school .	arrived; school	"_,x,_,_,_"	"O,O,O,ARGM-LOC,O"
I arrived at 5 .	arrived; 5	"_,x,_,_,_"	"O,O,O,ARGM-TMP,O"
It happened in Pairs .	happened; Paris	"_,x,_,_,_"	"O,O,O,ARGM-LOC,O"
It happend in July .	happened; July	"_,x,_,_,_"	"O,O,O,ARGM-TMP,O"
It happened in town .	happened; town	"_,x,_,_,_"	"O,O,O,ARGM-LOC,O"
It happend in minutes .	happened; minutes	"_,x,_,_,_"	"O,O,O,ARGM-TMP,O"
The object is from China .	is; China	"_,_,x,_,_,_"	"O,O,O,O,ARGM-LOC,O"
The object is from 1998 .	is; 1998	"_,_,x,_,_,_"	"O,O,O,O,ARGM-TMP,O"
The object is from here .	is; here	"_,_,x,_,_,_"	"O,O,O,O,ARGM-LOC,O"
The object is from last year .	is; year	"_,_,x,_,_,_,_"	"O,O,O,O,O,ARGM-TMP,O"
The agent works throughout the region .	works; region	"_,_,x,_,_,_,_"	"O,O,O,O,O,ARGM-LOC,O"
The agent works throughout the month .	works; month	"_,_,x,_,_,_,_"	"O,O,O,O,O,ARGM-TMP,O"
The agent works throughout the UK.	works; UK	"_,_,x,_,_,_"	"O,O,O,O,ARGM-LOC,O"
The agent works throughout September .	works; September	"_,_,x,_,_,_"	"O,O,O,O,ARGM-TMP,O"
